English	ไทย	สังกัด	ตำแหน่ง	กลุ่ม	ช่วงที่ปรากฏ
Ahui Nan	ห้วยหลำ		นักรบ	ม่าน	ปลาย
Bao Long	เปาหลง		นักรบ	เตียวหอม	กลาง
Bao Su	เปาเชา	จกก๊ก (Shu)	นักรบ		ท้ายสุด
Bao Xin	เปาสิ้น		ขุนนาง		ต้น
Bao Zhong	เปาต๋ง		นักรบ	เปาสิ้น	ต้น
Bei Yan	ปีเอี๋ยน		นักรบ	กองซุนเอี๋ยน	ปลาย
Bi Gui	ปิดห้วน	วุยก๊ก (Wei)	ขุนนาง		ปลาย
Bian Hong	เปียนฮอง	ง่อก๊ก (Wu)	ขุนนาง		กลาง
Bian Xi	เปี๋ยนฮี	วุยก๊ก (Wei)	นักรบ	โจรผ้าเหลือง	ต้น
Bo Shou	ไป่โซ่ว	จกก๊ก (Shu)	ขุนนาง		ปลาย
Bu Chan	ปู้ฉัน	วุยก๊ก (Wei)	นักรบ		ท้ายสุด
Bu Zhi	โปจิด(เปาจิด)	ง่อก๊ก (Wu)	ขุนนาง		กลาง
Cai He	ชัวโฮ	วุยก๊ก (Wei)	นักรบ	เล่าเปียว	กลาง
Cai Hun	ชัวหุน		นักรบ	เล่าเปียว	กลาง
Cai Lin	ชัวหลิม	วุย ง่อ	นักรบ		ท้ายสุด
Cai Mao	ชัวมอ	วุยก๊ก (Wei)	นักรบ	เล่าเปียว	กลาง
Cai Xun	ชัวหุน	วุยก๊ก (Wei)	นักรบ	เล่าเปียว	กลาง
Cai Yang	ซัวหยง	วุยก๊ก (Wei)	นักรบ		ต้น
Cai Yong	ซัวหยง		ขุนนาง	ตั๋งโต๊ะ	ต้น
Cai Yu	ซุยฮู	ง่อก๊ก (Wu)	นักรบ		ปลาย
Cai Zhong	ชัวต๋ง	วุยก๊ก (Wei)	นักรบ	เล่าเปียว	กลาง
Cao Cao	โจโฉ	วุยก๊ก (Wei)	ขุนนาง		ต้น
Cao Amin	โจอันบิ๋น	วุยก๊ก (Wei)	ขุนนาง	หลานโจโฉ	ต้น
Cao Ang	โจงั่ง	วุยก๊ก (Wei)	นักรบ	ลูกโจโฉ	ต้น
Cao Bao	โจป้า	จกก๊ก (Shu)	นักรบ	โตเกี๋ยม	ต้น
