ภูมิประเทศ	คำอธิบาย
กิก๊ก	ภูเขา อยู่ภาคเหนืออำเภอเพาเฉ่ง มณฑลเซียนซี
กิจิ๋ว	เมือง เปนอย่างมณฑลมาแต่ครั้งพระเจ้าอูเต้ ราชวงศ์แฮ่ เมื่อตอนปลายราชวงศ์ฮั่นตั้งที่ว่าการมณฑลที่เมืองเงียบกุ๋น (ดูอักษร ง) ครั้งสามก๊ก มณฑลกิจิ๋วเปนของวุยก๊ก วุยก๊กย้ายที่ว่าการมณฑลไปตั้งที่เมืองสินตู ราชวงศ์ภายหลังสามก๊กลงมาชี้เอาเมืองสินตู ในมณฑลจิลี เปนเมืองกิจิ๋ว
กิเป๋ง	เมือง เมืองเก่าอยู่แขวงอำเภอลิงเอี้ยง มณฑลซันตง
กิลกกุ๋น	เมือง ภายหลังเรียกซุนเตอะฟู้ มณฑลจิลี
กิสาน	ภูเขา อยู่ภาคตวันตกเฉียงเหนืออำเภอซีห้อ มณฑลกังซก
กิสุยก๋วน	ด่าน อยู่ในมณฑลโห้ลำ
กีซุย	แม่น้ำ อยู่ในมณฑลโห้ลำ
กีสาน	ภูเขา อยู่ภาคตวันออกอำเภอเพาะ มณฑลซันตง
เกเต๋ง, แกเต๋ง[๑]	ตำบล ภายหลังเรียกแกจั๋ว อยู่ในมณฑลกังซก
แกหิน	เมือง อยู่ในมณฑลเจเกียง
ไกซุย	ตำบล ภายหลังเรียกตำบลฮันเค้า มณฑลฮูเป
ไก่เหลียง	เมือง เมืองเก่าอยู่ภาคตวันตกเฉียงใต้ อำเภอลินจิ้น มณฑลซันซี
ไกเอี๋ยง	เมือง เมืองเก่าอยู่ภาคตวันตกเฉียงเหนือ อำเภอเมียน มณฑลเซียนซี ภายหลังเปลี่ยนไปอยู่ในมณฑลฮูเป
โกเหลง, โกเปงเหลง	ตำบล ภายหลังเปนอำเภอโกเหลง อยู่ในมณฑลเซียนซี
เกาจิ๋ว	เมือง เปนอย่างมณฑลครั้งราชวงศ์ไซ่ฮั่น เมื่อตอนปลายราชวงศ์ตั้งฮั่นตั้งที่ว่าการมณฑลที่เมืองกวงสิน คืออำเภอซังงาว มณฑลกวงซี ครั้งสามก๊ก มณฑลเกาจิ๋วเปนของง่อก๊ก ง่อก๊กแบ่งมณฑลนั้นเปน ๒ มณฑล คือมณฑลกวงจิ๋ว (กวางตุ้ง) มณฑล ๑ ตั้งที่ว่าการมณฑลที่เมืองฟันงี มณฑลเกาจิ๋ว มณฑล ๑ ตั้งที่ว่าการมณฑลที่เมืองลงเผียน คือหัวเมืองมณฑลฮานอยประเทศญวน ภายหลังแยกเปน ๓ คือ มณฑลกวงซี ๑ มณฑลกวางตุ้ง ๑ ประเทศญวน ๑
เกาเสีย	เมือง อยู่ภายใต้อำเภอคงไล มณฑลเสฉวน
กำลอ	วัด อยู่ที่ไหล่เขาเปกู ภาคเหนืออำเภอตังถู มณฑลเกียงซู
กำเหลง	เมือง เมืองเก่าอยู่ภาคใต้อำเภอชิงพิง มณฑลซันตง
ก๊กเส, กักเสีย	เมือง เมืองเก่าอยู่แขวงอำเภอเหียน มณฑลจิลี
ก๊กสัน	เมือง ไม่ทราบว่าอยู่ไหน
